name,year,highest_degree_offered,offers_bachelors_degree,offers_masters_degree,offers_doctors_degree_research_scholarship,offers_doctors_degree_professional_practice,applicants_total,admissions_total,enrolled_total,estimated_enrollment_total,tuition_and_fees_2013_14,total_price_for_in_state_students_living_on_campus_2013_14,total_price_for_out_of_state_students_living_on_campus_2013_14,state_abbreviation,control_of_institution,total_enrollment,full_time_enrollment,part_time_enrollment,undergraduate_enrollment,graduate_enrollment,full_time_undergraduate_enrollment,part_time_undergraduate_enrollment,percent_of_total_enrollment_that_are_women,percent_of_undergraduate_enrollment_that_are_women,percent_of_graduate_enrollment_that_are_women,graduation_rate_bachelor_degree_within_4_years_total,graduation_rate_bachelor_degree_within_5_years_total,graduation_rate_bachelor_degree_within_6_years_total
Bellarmine University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,4160.0,3943.0,676.0,3419.0,34890.0,52574.0,52574.0,Kentucky,Private not-for-profit,3419.0,2682.0,737.0,2593.0,826.0,2378.0,215.0,65.0,64.0,70.0,53.0,65.0,66.0
Berea College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1620.0,551.0,397.0,1623.0,23170.0,31870.0,31870.0,Kentucky,Private not-for-profit,1623.0,1587.0,36.0,1623.0,,1587.0,36.0,57.0,57.0,,47.0,60.0,62.0
Brescia University,2013,Master's degree,Yes,Yes,Implied no,Implied no,3582.0,1612.0,150.0,949.0,19640.0,30390.0,30390.0,Kentucky,Private not-for-profit,949.0,695.0,254.0,928.0,21.0,688.0,240.0,72.0,72.0,62.0,16.0,29.0,30.0
Campbellsville University,2013,Master's degree,Yes,Yes,Implied no,Implied no,2649.0,1813.0,525.0,3546.0,22196.0,33628.0,33628.0,Kentucky,Private not-for-profit,3520.0,2195.0,1325.0,3048.0,472.0,1982.0,1066.0,59.0,58.0,64.0,28.0,41.0,41.0
Centre College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2533.0,1737.0,377.0,1381.0,36020.0,48020.0,48020.0,Kentucky,Private not-for-profit,1381.0,1378.0,3.0,1381.0,,1378.0,3.0,51.0,51.0,,80.0,82.0,82.0
University of the Cumberlands,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,2527.0,1801.0,488.0,4814.0,20000.0,33500.0,33500.0,Kentucky,Private not-for-profit,4924.0,2439.0,2485.0,2096.0,2828.0,1514.0,582.0,63.0,50.0,73.0,24.0,40.0,43.0
Eastern Kentucky University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,9932.0,5961.0,2306.0,16164.0,7536.0,18960.0,28032.0,Kentucky,Public,16111.0,11651.0,4460.0,13891.0,2220.0,10969.0,2922.0,57.0,56.0,62.0,18.0,33.0,39.0
Georgetown College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1735.0,1426.0,238.0,1399.0,32310.0,44110.0,44110.0,Kentucky,Private not-for-profit,1399.0,1017.0,382.0,1043.0,356.0,1000.0,43.0,60.0,54.0,79.0,49.0,51.0,57.0
Kentucky State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,6399.0,2415.0,506.0,2533.0,6276.0,17506.0,26302.0,Kentucky,Public,2533.0,1887.0,646.0,2370.0,163.0,1813.0,557.0,59.0,59.0,53.0,7.0,15.0,18.0
Kentucky Wesleyan College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1006.0,675.0,163.0,655.0,21200.0,32190.0,32190.0,Kentucky,Private not-for-profit,657.0,621.0,36.0,657.0,,621.0,36.0,48.0,48.0,,25.0,36.0,38.0
University of Kentucky,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,19810.0,13592.0,4702.0,28423.0,10110.0,23732.0,34814.0,Kentucky,Public,28435.0,25658.0,2777.0,21441.0,6994.0,19884.0,1557.0,52.0,51.0,56.0,34.0,55.0,60.0
Kentucky Christian University,2013,Master's degree,Yes,Yes,Implied no,Implied no,590.0,303.0,135.0,590.0,17418.0,30256.0,30256.0,Kentucky,Private not-for-profit,594.0,496.0,98.0,559.0,35.0,494.0,65.0,44.0,46.0,11.0,18.0,36.0,39.0
Lindsey Wilson College,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,2645.0,22070.0,36613.0,36613.0,Kentucky,Private not-for-profit,2644.0,2520.0,124.0,2200.0,444.0,2101.0,99.0,62.0,59.0,76.0,15.0,26.0,29.0
University of Louisville,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,9166.0,6519.0,2857.0,21456.0,9946.0,22796.0,36684.0,Kentucky,Public,21444.0,16364.0,5080.0,15954.0,5490.0,12426.0,3528.0,52.0,51.0,53.0,25.0,47.0,53.0
Mid-Continent University,2013,Master's degree,Yes,Yes,Implied no,Implied no,458.0,322.0,201.0,2266.0,8673.0,26041.0,26041.0,Kentucky,Private not-for-profit,2251.0,1905.0,346.0,2154.0,97.0,1822.0,332.0,65.0,65.0,71.0,5.0,14.0,15.0
Midway College,2013,Master's degree,Yes,Yes,Implied no,Implied no,446.0,240.0,115.0,1351.0,22150.0,37650.0,37650.0,Kentucky,Private not-for-profit,1351.0,745.0,606.0,1247.0,104.0,731.0,516.0,79.0,81.0,59.0,34.0,43.0,48.0
Morehead State University,2013,Doctor's degree - other,Yes,Yes,Implied no,Implied no,5230.0,4419.0,1649.0,11359.0,7498.0,18851.0,30099.0,Kentucky,Public,11358.0,6472.0,4886.0,10076.0,1282.0,6209.0,3867.0,61.0,61.0,62.0,22.0,39.0,45.0
Murray State University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,4576.0,3760.0,1626.0,10893.0,7044.0,18898.0,31018.0,Kentucky,Public,10943.0,7838.0,3105.0,9172.0,1771.0,7153.0,2019.0,59.0,58.0,63.0,29.0,48.0,53.0
Northern Kentucky University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,7064.0,3299.0,2107.0,15336.0,8376.0,19186.0,27274.0,Kentucky,Public,15263.0,10597.0,4666.0,12794.0,2469.0,9736.0,3058.0,56.0,55.0,64.0,14.0,31.0,38.0
University of Pikeville,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,1804.0,1804.0,386.0,2203.0,17750.0,33750.0,33750.0,Kentucky,Private not-for-profit,2205.0,1749.0,456.0,1738.0,467.0,1282.0,456.0,52.0,53.0,47.0,16.0,27.0,29.0
Saint Catharine College,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,766.0,18106.0,34726.0,34726.0,Kentucky,Private not-for-profit,767.0,575.0,192.0,748.0,19.0,570.0,178.0,64.0,65.0,42.0,18.0,27.0,27.0
Spalding University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,1094.0,887.0,402.0,2332.0,22425.0,37439.0,37439.0,Kentucky,Private not-for-profit,2367.0,1726.0,641.0,1371.0,996.0,954.0,417.0,73.0,70.0,78.0,18.0,33.0,40.0
Thomas More College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1053.0,924.0,264.0,1615.0,27345.0,38621.0,38621.0,Kentucky,Private not-for-profit,1600.0,1221.0,379.0,1502.0,98.0,1140.0,362.0,52.0,52.0,43.0,42.0,55.0,57.0
Transylvania University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1326.0,1275.0,294.0,1084.0,31560.0,43640.0,43640.0,Kentucky,Private not-for-profit,1082.0,1067.0,15.0,1082.0,,1067.0,15.0,57.0,57.0,,67.0,71.0,72.0
Union College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1424.0,1056.0,242.0,1159.0,22000.0,33740.0,33740.0,Kentucky,Private not-for-profit,1164.0,858.0,306.0,818.0,346.0,729.0,89.0,53.0,49.0,62.0,16.0,31.0,34.0
Western Kentucky University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,8526.0,7871.0,3375.0,20319.0,8722.0,18822.0,32348.0,Kentucky,Public,20448.0,14315.0,6133.0,17509.0,2939.0,13382.0,4127.0,58.0,57.0,68.0,25.0,45.0,50.0
Centenary College of Louisiana,2013,Master's degree,Yes,Yes,Implied no,Implied no,670.0,442.0,128.0,661.0,30740.0,44600.0,44600.0,Louisiana,Private not-for-profit,661.0,578.0,83.0,586.0,75.0,571.0,15.0,57.0,56.0,61.0,49.0,57.0,59.0
Dillard University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4726.0,1675.0,229.0,1183.0,16094.0,30358.0,30358.0,Louisiana,Private not-for-profit,1183.0,1128.0,55.0,1183.0,,1128.0,55.0,71.0,71.0,,5.0,11.0,46.0
Grambling State University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4545.0,1983.0,714.0,5071.0,5950.0,22720.0,31888.0,Louisiana,Public,5071.0,4325.0,746.0,4155.0,916.0,3860.0,295.0,63.0,60.0,74.0,7.0,24.0,31.0
Louisiana State University-Alexandria,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1080.0,656.0,391.0,2233.0,5337.0,17013.0,21658.0,Louisiana,Public,2229.0,1257.0,972.0,2211.0,18.0,1257.0,954.0,70.0,70.0,72.0,7.0,17.0,20.0
Louisiana State University and Agricultural & Mechanical College,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,16169.0,12326.0,5725.0,30478.0,7873.0,23227.0,41144.0,Louisiana,Public,30478.0,27172.0,3306.0,24923.0,5555.0,22811.0,2112.0,51.0,52.0,51.0,38.0,62.0,67.0
Louisiana State University-Shreveport,2013,Master's degree,Yes,Yes,Implied no,Implied no,539.0,450.0,345.0,4082.0,5606.0,,,Louisiana,Public,4114.0,2229.0,1885.0,3674.0,440.0,2097.0,1577.0,60.0,59.0,71.0,15.0,27.0,33.0
Louisiana College,2013,Master's degree,Yes,Yes,Implied no,Implied no,904.0,671.0,266.0,1388.0,14120.0,23390.0,23390.0,Louisiana,Private not-for-profit,1400.0,1092.0,308.0,1116.0,284.0,1035.0,81.0,51.0,48.0,64.0,29.0,40.0,43.0
Louisiana Tech University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,5077.0,3424.0,1552.0,11014.0,7302.0,18927.0,30066.0,Louisiana,Public,11015.0,7549.0,3466.0,9245.0,1770.0,6585.0,2660.0,49.0,47.0,61.0,29.0,45.0,50.0
Loyola University New Orleans,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,4827.0,4203.0,624.0,4686.0,36860.0,51760.0,51760.0,Louisiana,Private not-for-profit,4686.0,3589.0,1097.0,2946.0,1740.0,2741.0,205.0,62.0,59.0,66.0,44.0,53.0,55.0
McNeese State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,3624.0,2229.0,1313.0,8349.0,5701.0,17759.0,28661.0,Louisiana,Public,8341.0,6307.0,2034.0,7575.0,766.0,5973.0,1602.0,62.0,62.0,68.0,13.0,31.0,37.0
University of New Orleans,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,3197.0,1610.0,860.0,9323.0,6578.0,19825.0,32315.0,Louisiana,Public,9323.0,6548.0,2775.0,7144.0,2179.0,5376.0,1768.0,52.0,50.0,57.0,13.0,25.0,32.0
Nicholls State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,2404.0,2090.0,1243.0,6540.0,6468.0,19180.0,28671.0,Louisiana,Public,6532.0,4947.0,1585.0,5888.0,644.0,4729.0,1159.0,63.0,62.0,76.0,19.0,35.0,42.0
University of Louisiana at Monroe,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,3454.0,2668.0,1325.0,8645.0,6318.0,17250.0,27822.0,Louisiana,Public,8645.0,5739.0,2906.0,7276.0,1369.0,4894.0,2382.0,63.0,63.0,65.0,19.0,34.0,40.0
Northwestern State University of Louisiana,2013,Master's degree,Yes,Yes,Implied no,Implied no,2812.0,2362.0,1231.0,8944.0,6207.0,18436.0,28556.0,Louisiana,Public,8944.0,5249.0,3695.0,7836.0,1108.0,5013.0,2823.0,69.0,68.0,79.0,19.0,34.0,38.0
Our Lady of Holy Cross College,2013,Master's degree,Yes,Yes,Implied no,Implied no,163.0,79.0,59.0,1053.0,9950.0,,,Louisiana,Private not-for-profit,1112.0,602.0,510.0,878.0,234.0,521.0,357.0,83.0,83.0,80.0,5.0,22.0,28.0
Southeastern Louisiana University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,7657.0,3430.0,2565.0,14949.0,5715.0,17149.0,29168.0,Louisiana,Public,14934.0,10360.0,4574.0,13730.0,1204.0,9999.0,3731.0,62.0,60.0,78.0,13.0,29.0,36.0
Southern University and A & M College,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,3721.0,1336.0,781.0,6802.0,6630.0,18882.0,20526.0,Louisiana,Public,6777.0,5641.0,1136.0,5746.0,1031.0,4708.0,1038.0,65.0,63.0,74.0,8.0,22.0,32.0
Southern University at New Orleans,2013,Master's degree,Yes,Yes,Implied no,Implied no,1563.0,764.0,684.0,4391.0,4911.0,16191.0,16191.0,Louisiana,Public,2292.0,1655.0,637.0,1809.0,483.0,1222.0,587.0,76.0,75.0,81.0,4.0,9.0,11.0
University of Louisiana at Lafayette,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,8506.0,5044.0,2693.0,16646.0,6192.0,19035.0,28585.0,Louisiana,Public,16646.0,13221.0,3425.0,15053.0,1593.0,12295.0,2758.0,55.0,55.0,55.0,13.0,36.0,45.0
Tulane University of Louisiana,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,30122.0,7961.0,1609.0,12938.0,46930.0,61178.0,61178.0,Louisiana,Private not-for-profit,12938.0,10572.0,2366.0,8290.0,4648.0,6487.0,1803.0,56.0,58.0,54.0,62.0,74.0,76.0
Xavier University of Louisiana,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,4703.0,2560.0,675.0,3121.0,20560.0,31501.0,31501.0,Louisiana,Private not-for-profit,3121.0,2942.0,179.0,2504.0,617.0,2375.0,129.0,71.0,71.0,70.0,27.0,43.0,46.0
College of the Atlantic,2013,Master's degree,Yes,Yes,Implied no,Implied no,452.0,333.0,104.0,363.0,38952.0,49890.0,49890.0,Maine,Private not-for-profit,370.0,351.0,19.0,362.0,8.0,344.0,18.0,68.0,67.0,88.0,56.0,68.0,69.0
Bates College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,5243.0,1267.0,500.0,1791.0,45650.0,61000.0,61000.0,Maine,Private not-for-profit,1791.0,1791.0,,1791.0,,1791.0,,50.0,50.0,,88.0,93.0,93.0
Bowdoin College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,7052.0,1054.0,497.0,1795.0,45446.0,59900.0,59900.0,Maine,Private not-for-profit,1795.0,1791.0,4.0,1795.0,,1791.0,4.0,50.0,50.0,,88.0,92.0,93.0
Colby College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,5407.0,1408.0,483.0,1820.0,45760.0,59110.0,59110.0,Maine,Private not-for-profit,1820.0,1820.0,,1820.0,,1820.0,,52.0,52.0,,89.0,92.0,93.0
Husson University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,1581.0,1263.0,444.0,2963.0,15130.0,26286.0,26286.0,Maine,Private not-for-profit,3049.0,2288.0,761.0,2350.0,699.0,1868.0,482.0,60.0,59.0,63.0,25.0,40.0,45.0
University of Maine at Augusta,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,4770.0,7500.0,,,Maine,Public,4770.0,1726.0,3044.0,4770.0,,1726.0,3044.0,71.0,71.0,,3.0,7.0,12.0
University of Maine at Farmington,2013,Master's degree,Yes,Yes,Implied no,Implied no,1638.0,1371.0,439.0,2061.0,9167.0,21425.0,30513.0,Maine,Public,2061.0,1783.0,278.0,1901.0,160.0,1783.0,118.0,67.0,66.0,79.0,38.0,53.0,55.0
University of Maine at Fort Kent,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,464.0,292.0,162.0,1209.0,7575.0,18795.0,28755.0,Maine,Public,1209.0,594.0,615.0,1209.0,,594.0,615.0,71.0,71.0,,36.0,39.0,44.0
University of Maine at Machias,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,452.0,386.0,104.0,892.0,7490.0,18968.0,30848.0,Maine,Public,892.0,439.0,453.0,892.0,,439.0,453.0,70.0,70.0,,14.0,25.0,31.0
University of Maine,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,8306.0,6733.0,1997.0,11247.0,10600.0,23712.0,41082.0,Maine,Public,11247.0,8739.0,2508.0,9182.0,2065.0,7922.0,1260.0,51.0,48.0,66.0,36.0,51.0,56.0
Maine Maritime Academy,2013,Master's degree,Yes,Yes,Implied no,Implied no,791.0,517.0,225.0,1018.0,11950.0,24098.0,34918.0,Maine,Public,1018.0,1001.0,17.0,994.0,24.0,979.0,15.0,14.0,13.0,46.0,53.0,72.0,74.0
University of Maine at Presque Isle,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,1350.0,7300.0,18276.0,28236.0,Maine,Public,1263.0,718.0,545.0,1263.0,,718.0,545.0,63.0,63.0,,15.0,27.0,30.0
University of New England,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,4231.0,3632.0,633.0,6032.0,33145.0,50295.0,50295.0,Maine,Private not-for-profit,6032.0,4961.0,1071.0,2653.0,3379.0,2156.0,497.0,72.0,71.0,73.0,49.0,57.0,58.0
Saint Joseph's College of Maine,2013,Master's degree,Yes,Yes,Implied no,Implied no,1580.0,1229.0,290.0,4497.0,30990.0,45790.0,45790.0,Maine,Private not-for-profit,1614.0,896.0,718.0,1276.0,338.0,895.0,381.0,70.0,67.0,79.0,49.0,54.0,55.0
University of Southern Maine,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,3902.0,3231.0,868.0,8923.0,8920.0,24062.0,36422.0,Maine,Public,8923.0,5020.0,3903.0,7098.0,1825.0,4281.0,2817.0,59.0,57.0,68.0,10.0,26.0,34.0
Thomas College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1074.0,778.0,269.0,1526.0,22770.0,35494.0,35494.0,Maine,Private not-for-profit,1522.0,835.0,687.0,1339.0,183.0,780.0,559.0,54.0,52.0,63.0,35.0,44.0,44.0
Unity College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,519.0,461.0,146.0,554.0,25000.0,35864.0,35864.0,Maine,Private not-for-profit,553.0,547.0,6.0,553.0,,547.0,6.0,51.0,51.0,,45.0,51.0,51.0
University of Baltimore,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,695.0,507.0,251.0,6518.0,7838.0,,,Maryland,Public,6518.0,3457.0,3061.0,3526.0,2992.0,2061.0,1465.0,58.0,57.0,59.0,23.0,33.0,38.0
Bowie State University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,3986.0,2063.0,627.0,5561.0,6971.0,20107.0,30674.0,Maryland,Public,5561.0,3974.0,1587.0,4358.0,1203.0,3521.0,837.0,64.0,62.0,69.0,13.0,27.0,35.0
Washington Adventist University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1455.0,476.0,134.0,1185.0,21020.0,31220.0,31220.0,Maryland,Private not-for-profit,1185.0,874.0,311.0,1011.0,174.0,806.0,205.0,66.0,65.0,75.0,17.0,33.0,36.0
Coppin State University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,5980.0,2123.0,446.0,3383.0,6252.0,19091.0,24025.0,Maryland,Public,3383.0,2384.0,999.0,2920.0,463.0,2251.0,669.0,74.0,74.0,76.0,4.0,10.0,14.0
Frostburg State University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,3872.0,2302.0,895.0,5473.0,7728.0,20046.0,30694.0,Maryland,Public,5473.0,4408.0,1065.0,4703.0,770.0,4192.0,511.0,51.0,49.0,61.0,22.0,41.0,47.0
Goucher College,2013,Master's degree,Yes,Yes,Implied no,Implied no,3615.0,2593.0,410.0,2111.0,39084.0,52908.0,52908.0,Maryland,Private not-for-profit,2111.0,1585.0,526.0,1449.0,662.0,1424.0,25.0,69.0,66.0,76.0,59.0,67.0,68.0
Hood College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1686.0,1366.0,281.0,2393.0,33280.0,48830.0,48830.0,Maryland,Private not-for-profit,2392.0,1406.0,986.0,1388.0,1004.0,1266.0,122.0,65.0,66.0,65.0,55.0,65.0,66.0
Johns Hopkins University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,21336.0,3869.0,1390.0,20918.0,45470.0,61502.0,61502.0,Maryland,Private not-for-profit,20918.0,13256.0,7662.0,6117.0,14801.0,5865.0,252.0,51.0,51.0,51.0,87.0,91.0,93.0
Loyola University Maryland,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,13604.0,7891.0,1096.0,5977.0,43250.0,58578.0,58578.0,Maryland,Private not-for-profit,5977.0,4585.0,1392.0,4004.0,1973.0,3951.0,53.0,62.0,59.0,67.0,79.0,84.0,84.0
University of Maryland-University College,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,,,,39683.0,6552.0,,,Maryland,Public,39557.0,6131.0,33426.0,26740.0,12817.0,5917.0,20823.0,51.0,49.0,54.0,1.0,2.0,3.0
University of Maryland-Baltimore County,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,9755.0,6160.0,1657.0,13908.0,10068.0,24762.0,36336.0,Maryland,Public,13908.0,10699.0,3209.0,11136.0,2772.0,9508.0,1628.0,46.0,45.0,49.0,37.0,59.0,65.0
University of Maryland-College Park,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,26247.0,12333.0,4020.0,37272.0,9162.0,23734.0,42920.0,Maryland,Public,37272.0,32199.0,5073.0,26658.0,10614.0,24522.0,2136.0,47.0,47.0,48.0,66.0,82.0,84.0
University of Maryland Eastern Shore,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,4073.0,2241.0,610.0,4220.0,6998.0,21454.0,29960.0,Maryland,Public,4220.0,3601.0,619.0,3530.0,690.0,3171.0,359.0,57.0,55.0,62.0,13.0,28.0,32.0
Morgan State University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4801.0,2764.0,899.0,7546.0,7218.0,22269.0,31683.0,Maryland,Public,7546.0,6101.0,1445.0,6252.0,1294.0,5504.0,748.0,56.0,55.0,59.0,11.0,26.0,34.0
Mount St Mary's University,2013,Master's degree,Yes,Yes,Implied no,Implied no,4943.0,3332.0,429.0,2240.0,34644.0,48858.0,48858.0,Maryland,Private not-for-profit,2240.0,1907.0,333.0,1741.0,499.0,1650.0,91.0,52.0,55.0,40.0,61.0,65.0,66.0
Notre Dame of Maryland University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,838.0,416.0,104.0,2877.0,32050.0,45650.0,45650.0,Maryland,Private not-for-profit,2877.0,888.0,1989.0,1234.0,1643.0,525.0,709.0,87.0,95.0,81.0,45.0,51.0,53.0
Salisbury University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,8912.0,4896.0,1246.0,8643.0,8128.0,22368.0,30714.0,Maryland,Public,8643.0,7665.0,978.0,8004.0,639.0,7374.0,630.0,58.0,57.0,74.0,47.0,64.0,67.0
St Mary's College of Maryland,2013,Master's degree,Yes,Yes,Implied no,Implied no,1985.0,1430.0,419.0,1859.0,14864.0,29599.0,43399.0,Maryland,Public,1858.0,1789.0,69.0,1819.0,39.0,1762.0,57.0,60.0,59.0,82.0,71.0,78.0,79.0
Sojourner-Douglass College,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,1081.0,9830.0,,,Maryland,Private not-for-profit,1080.0,549.0,531.0,1037.0,43.0,530.0,507.0,89.0,89.0,91.0,10.0,15.0,17.0
St John's College,2013,Master's degree,Yes,Yes,Implied no,Implied no,342.0,277.0,126.0,490.0,46296.0,58630.0,58630.0,Maryland,Private not-for-profit,490.0,486.0,4.0,443.0,47.0,440.0,3.0,44.0,45.0,34.0,56.0,63.0,63.0
Towson University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,17750.0,10710.0,2748.0,22499.0,8342.0,23166.0,34844.0,Maryland,Public,22499.0,17786.0,4713.0,18779.0,3720.0,16588.0,2191.0,62.0,60.0,70.0,40.0,61.0,65.0
Maryland University of Integrative Health,2013,Master's degree,Implied no,Yes,Implied no,Implied no,,,,591.0,,,,Maryland,Private not-for-profit,591.0,447.0,144.0,,591.0,,,87.0,,87.0,,,
Stevenson University,2013,Master's degree,Yes,Yes,Implied no,Implied no,5318.0,3169.0,752.0,4269.0,27082.0,43556.0,43556.0,Maryland,Private not-for-profit,4404.0,3368.0,1036.0,3965.0,439.0,3288.0,677.0,66.0,65.0,75.0,42.0,53.0,56.0
Washington College,2013,Master's degree,Yes,Yes,Implied no,Implied no,4786.0,3185.0,350.0,1512.0,41120.0,54312.0,54312.0,Maryland,Private not-for-profit,1512.0,1441.0,71.0,1483.0,29.0,1440.0,43.0,57.0,58.0,48.0,65.0,68.0,68.0
McDaniel College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2942.0,2232.0,453.0,3256.0,36960.0,48300.0,48300.0,Maryland,Private not-for-profit,3229.0,1817.0,1412.0,1692.0,1537.0,1660.0,32.0,64.0,53.0,76.0,64.0,72.0,72.0
American International College,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,1928.0,1307.0,346.0,3629.0,30040.0,44900.0,44900.0,Massachusetts,Private not-for-profit,3657.0,1722.0,1935.0,1513.0,2144.0,1397.0,116.0,69.0,58.0,78.0,28.0,42.0,45.0
Amherst College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,7927.0,1132.0,466.0,1787.0,46574.0,61544.0,61544.0,Massachusetts,Private not-for-profit,1785.0,1785.0,,1785.0,,1785.0,,50.0,50.0,,89.0,96.0,96.0
Anna Maria College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2081.0,1614.0,243.0,1554.0,32134.0,48146.0,48146.0,Massachusetts,Private not-for-profit,1540.0,907.0,633.0,1143.0,397.0,845.0,298.0,54.0,57.0,44.0,43.0,47.0,47.0
Assumption College,2013,Master's degree,Yes,Yes,Implied no,Implied no,4659.0,3458.0,502.0,2687.0,34975.0,48521.0,48521.0,Massachusetts,Private not-for-profit,2756.0,2192.0,564.0,2240.0,516.0,2022.0,218.0,63.0,61.0,72.0,70.0,73.0,73.0
Bay Path College,2013,Master's degree,Yes,Yes,Implied no,Implied no,908.0,523.0,135.0,2265.0,29959.0,44559.0,44559.0,Massachusetts,Private not-for-profit,2357.0,1588.0,769.0,1458.0,899.0,1179.0,279.0,96.0,100.0,88.0,46.0,53.0,55.0
Becker College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,3936.0,2462.0,361.0,1902.0,31500.0,47160.0,47160.0,Massachusetts,Private not-for-profit,1902.0,1449.0,453.0,1902.0,,1449.0,453.0,57.0,57.0,,16.0,24.0,24.0
Bentley University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,7493.0,3281.0,974.0,5662.0,41110.0,56930.0,56930.0,Massachusetts,Private not-for-profit,5658.0,4893.0,765.0,4247.0,1411.0,4142.0,105.0,42.0,40.0,50.0,81.0,86.0,87.0
Boston College,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,24538.0,7905.0,2215.0,14077.0,45622.0,60706.0,60706.0,Massachusetts,Private not-for-profit,14309.0,12916.0,1393.0,9698.0,4611.0,9390.0,308.0,55.0,53.0,57.0,89.0,91.0,91.0
